　	ork
ぴゃ	pya
ぴゅ	pyu
ぴょ	pyo
ア	a
イ	i
ウ	u
エ	e
オ	o
カ	ka
キ	ki
ク	ku
ケ	ke
コ	ko
サ	sa
シ	shi
ス	su
セ	se
ソ	so
タ	ta
チ	chi
ツ	tsu
テ	te
ト	to
ナ	na
ニ	ni
ヌ	nu
ネ	ne
ノ	no
ハ	ha
ヒ	hi
フ	fu
ヘ	he
ホ	ho
マ	ma
ミ	mi
ム	mu
メ	me
モ	mo
ヤ	ya
ユ	yu
ヨ	yo
ラ	ra
リ	ri
ル	ru
レ	re
ロ	ro
ワ	wa
ヲ	wo
ン	n
ガ	ga
ギ	gi
グ	gu
ゲ	ge
ゴ	go
ザ	za
ジ	ji
ズ	zu
ゼ	ze
ゾ	zo
ダ	da
ヂ	ji
ヅ	zu
デ	de
ド	do
バ	ba
ビ	bi
ブ	bu
ベ	be
ボ	bo
パ	pa
ピ	pi
プ	pu
ペ	pe
ポ	po
キャ	kya
キュ	kyu
キョ	kyo
シャ	sha
シュ	shu
ショ	sho
チャ	cha
チュ	chu
チョ	cho
ニャ	nya
ニュ	nyu
ニョ	nyo
ヒャ	hya
ヒュ	hyu
ヒョ	hyo
ミャ	mya
ミュ	myu
ミョ	myo
リャ	rya
リュ	ryu
リョ	ryo
ギャ	gya
ギュ	gyu
ギョ	gyo
ジャ	ja
ジュ	ju
ジョ	jo
ビャ	bya
ビュ	byu
ビョ	byo
ピャ	pya
ピュ	pyu
ピョ	pyo
⽇⽈⾨⾉⽉⺝⺼⾻⻣⺳⺴⻅⺼⺱⽹⺵⼞⺜⻉⽤⾘⽫⽬⾙⾒⿍⾦⺑⺏⽗⾕⽊⽪⼨⺘⾱⿆⽔⽕⽶⺢⺗⼟⾚⿎⾛⼃⽵⽩⾹⿃⾎⾃⾈⽲⿉⼡⼢⺣⺤⺥⾤⺧⺁⼺⾡⺅⽖⽄⼏⺇⺈⽎⾵⻛⼋⼻⾏⽜⽣⽑⾩⻕⼓⼾⺆⿁⻤⿐⽠⽒⾅⺽⾝⻱⿏⺖⼂⼽⼧⺀⺍⽧⺡⻍⿇⽝⻰⼇⼎⼍⺭⻂⻎⻂⻌⻈⼷⿅⼗⽳⽀⼶⺾⺿⺹⽼⼠⿆⺺⾞⼤⼶⽘⺨⻋⼒⺨⼪⺐⼁⼱⽱⺌⾪⺦⻔⽚⺊⺻⾍⾮⻀⼍⾾⺉⾀⼌⺆⾲⼉⼀⽽⻚⾴⾣⻄⺩⽟⼚⺂⾄⼲⾆⽆⾬⻗⻃⼯⼆⽰⺬⾠⽍⽯⿀⾖⾗⺎⾑⼕⼖⽛⺛⽡⾯⼅⼸⾊⾓⻇⻆⼩⼦⼣⽭⾇⽨⼜⻏⻖⼹⼵⽋⻜⾶⼄⺄⻠⻢⿂⻲⻥⻳⿔⺪⽦⼈⾁⾫⼊⾷⻝⻞⻟⺮⽸⽮⺙⽓⻐⿕⼼⻓⽐⻦⼿⽾⾭⻘⻨⻙⼝⾢⻪⺒⺠⿌⻊⾜⼫⼑⾽⽿⼙⾂⺕⻒⽻⾧⻑⾺⼰⺋⿋⺷⾸⾰⻩⽢⺸⿈⽺⺶⼭⼔⼬⾿⼬⾋⼥⼛⼳⺓⽷⺯⼐⺃⽙⺔⺰⻡⼮⽥⺲⾥⿊⽏⺫⺟⼘⿓⽁⼴⽅⾐⽃⽂⻬⻫⽌⺡⾔⿒⻭⻮⺞⻍⾌⻁⾼⽴⾳⾟⻯⽞⿄⻧⿑	buuz
ㄅ	b
ㄆ	p
ㄇ	m
ㄈ	f
ㄉ	d
ㄊ	t
ㄋ	n
ㄌ	l
ㄍ	g
ㄎ	k
ㄏ	h
ㄐ	j
ㄑ	q
ㄒ	x
ㄓ	zh
ㄔ	ch
ㄕ	sh
ㄖ	r
ㄗ	z
ㄘ	c
ㄙ	s
ㄧ	yi
ㄨ	wu
ㄩ	yu
ㄚ	a
ㄛ	o
ㄜ	e
ㄝ	e
ㄞ	ai
ㄟ	ei
ㄠ	ao
ㄡ	ou
ㄢ	an
ㄣ	en
ㄤ	ang
ㄥ	eng
ㄦ	er
